pmid,title,abstract
38886569,Role of gut microbiota in the pathogenesis of castration-resistant prostate cancer: a comprehensive study using sequencing and animal models.,"CRPC remains a significant challenge in prostate cancer research. We aimed to elucidate the role of gut microbiota and its specific mechanisms in CRPC using a multidisciplinary approach. We analyzed 16S rRNA sequencing data from mouse fecal samples, revealing substantial differences in gut microbiota composition between CRPC and castration-sensitive prostate cancer mice, particularly in Firmicutes and Bacteroidetes. Functional analysis suggested different bacteria may influence CRPC via the α-linolenic acid metabolism pathway. In vivo, experiments utilizing mouse models and fecal microbiota transplantation (FMT) demonstrated that FMT from healthy control mice could decelerate tumor growth in CRPC mice, reduce TNF-α levels, and inhibit the activation of the TLR4/MyD88/NF-κB signaling pathway. Transcriptome sequencing identified crucial genes and pathways, with rescue experiments confirming the gut microbiota's role in modulating CRPC progression through the TLR4/MyD88/NF-κB pathway. The activation of this pathway by TNF-α has been corroborated by in vitro cell experiments, indicating its role in promoting prostate cancer cell proliferation, migration, and invasion while inhibiting apoptosis. Gut microbiota dysbiosis may promote CRPC development through TNF-α activation of the TLR4/MyD88/NF-κB signaling pathway, potentially linked to α-linolenic acid metabolism."
38887828,"Advances in skin gene therapy: utilizing innovative dressing scaffolds for wound healing, a comprehensive review.","The skin, serving as the body's outermost layer, boasts a vast area and intricate structure, functioning as the primary barrier against external threats. Disruptions in the composition and functionality of the skin can lead to a diverse array of skin conditions, such as wounds, burns, and diabetic ulcers, along with inflammatory disorders, infections, and various types of skin cancer. These disorders not only exacerbate concerns regarding skin health and beauty but also have a significant impact on mental well-being. Due to the complexity of these disorders, conventional treatments often prove insufficient, necessitating the exploration of new therapeutic approaches. Researchers develop new therapies by deciphering these intricacies and gaining a thorough understanding of the protein networks and molecular processes in skin. A new window of opportunity has opened up for improving wound healing processes because of recent advancements in skin gene therapy. To enhance skin regeneration and healing, this extensive review investigates the use of novel dressing scaffolds in conjunction with gene therapy approaches. Scaffolds that do double duty as wound protectors and vectors for therapeutic gene delivery are being developed using innovative biomaterials. To improve cellular responses and speed healing, these state-of-the-art scaffolds allow for the targeted delivery and sustained release of genetic material. The most recent developments in gene therapy techniques include RNA interference, CRISPR-based gene editing, and the utilization of viral and non-viral vectors in conjunction with scaffolds, which were reviewed here to overcome skin disorders and wound complications. In the future, there will be rare chances to develop custom methods for skin health care thanks to the combination of modern technology and collaboration among disciplines."
38886889,Living Kidney Donation: A Narrative Review of Mid- and Long-term Psychosocial Outcomes.,"Living kidney donors make a significant contribution to alleviating the organ shortage. The aim of this article is to provide an overview of mid- and long-term (≥12 mo) living donor psychosocial outcomes and highlight areas that have been understudied and should be immediately addressed in both research and clinical practice. We conducted a narrative review by searching 3 databases. A total of 206 articles were included. Living donors can be divided into those who donate to an emotionally or genetically related person, the so-called directed donors, or to an emotionally or genetically unrelated recipient, the so-called nondirected donors. The most commonly investigated (bio)psychosocial outcome after living donation was health-related quality of life. Other generic (bio)psychological outcomes include specific aspects of mental health such as depression, and fatigue and pain. Social outcomes include financial and employment burdens and problems with insurance. Donation-specific psychosocial outcomes include regret, satisfaction, feelings of abandonment and unmet needs, and benefits of living kidney donation. The experience of living donation is complex and multifaceted, reflected in the co-occurrence of both benefits and burden after donation. Noticeably, no interventions have been developed to improve mid- or long-term psychosocial outcomes among living donors. We highlight areas for methodological improvement and identified 3 areas requiring immediate attention from the transplant community in both research and clinical care: (1) recognizing and providing care for the minority of donors who have poorer long-term psychosocial outcomes after donation, (2) minimizing donation-related financial burden, and (3) studying interventions to minimize long-term psychosocial problems."
38887219,Modification of the existing maximum residue levels in various plant commodities resulting from the use of potassium phosphonates.,"In accordance with Article 6 of Regulation (EC) No 396/2005, the applicants De Sangosse SAS and Tilco-Alginure submitted two requests, respectively, to the competent national authorities in France and Germany to modify the existing maximum residue levels (MRLs) for the active substance potassium phosphonates in various plant commodities. The data submitted in support of the requests were found to be sufficient to derive MRL proposals for the commodities under assessment. For the derived MRL on baby leaf crops, further risk manager consideration is required to decide between two MRL options. Adequate analytical methods for enforcement are available to control the residues of potassium phosphonates in accordance with the residue definition 'phosphonic acid and its salts expressed as phosphonic acid' in the commodities under consideration. Based on the risk assessment results and assuming that the existing MRLs will be amended as proposed by EFSA in previous outputs, EFSA concluded that the long-term intake of residues resulting from the existing uses of fosetyl and phosphonates (previously assessed in a joint MRL review) and new proposed uses of potassium phosphonates is unlikely to present a risk to consumer health. Considering the toxicological profile of the active substance, a short-term dietary risk assessment was not required. The risk assessment shall be regarded as indicative because some MRL proposals derived by EFSA in the framework of the MRL review according to Articles 12 and 43 of Regulation (EC) No 396/2005 require further consideration by risk managers."
38887390,Ferroptosis and circular RNAs: new horizons in cancer therapy.,"Cancer poses intricate challenges to treatment due to its complexity and diversity. Ferroptosis and circular RNAs (circRNAs) are emerging as innovative therapeutic avenues amid the evolving landscape of cancer therapy. Extensive investigations into circRNAs reveal their diverse roles, ranging from molecular regulators to pivotal influencers of ferroptosis in cancer cell lines. The results underscore the significance of circRNAs in modulating molecular pathways that impact crucial aspects of cancer development, including cell survival, proliferation, and metastasis. A detailed analysis delineates these pathways, shedding light on the molecular mechanisms through which circRNAs influence ferroptosis. Building upon recent experimental findings, the study evaluates the therapeutic potential of targeting circRNAs to induce ferroptosis. By identifying specific circRNAs associated with the etiology of cancer, this analysis paves the way for the development of targeted therapeutics that exploit vulnerabilities in cancer cells. This review consolidates the existing understanding of ferroptosis and circRNAs, emphasizing their role in cancer therapy and providing impetus for ongoing research in this dynamic field. See also the graphical abstract(Fig. 1)."
38886009,"III-Nitride Magnetron Sputter Epitaxy on Si: Controlling Morphology, Crystal Quality, and Polarity Using Al Seed Layers.","Group III-nitride semiconductors have been subject of intensive research, resulting in the maturing of the material system and adoption of III-nitrides in modern optoelectronics and power electronic devices. Defined film polarity is an important aspect of III-nitride epitaxy as the polarity affects the design of electronic devices. Magnetron sputtering is a novel approach for cost-effective epitaxy of III-nitrides nearing the technological maturity needed for device production; therefore, control of film polarity is an important technological milestone. In this study, we show the impact of Al seeding on the AlN/Si interface and resulting changes in crystal quality, film morphology, and polarity of GaN/AlN stacks grown by magnetron sputter epitaxy. X-ray diffraction measurements demonstrate the improvement of the crystal quality of the AlN and subsequently the GaN film by the Al seeding. Nanoscale structural and chemical investigations using scanning transmission electron microscopy reveal the inversion of the AlN film polarity. It is proposed that N-polar growth induced by Al seeding is related to the formation of a polycrystalline oxygen-rich AlN interlayer partially capped by an atomically thin Si-rich layer at the AlN/Si interface. Complementary aqueous KOH etch studies of GaN/AlN stacks demonstrate that purely metal-polar and N-polar layers can be grown on a macroscopic scale by controlling the amount of Al seeding."
38887075,The skin barrier and microbiome in infantile atopic dermatitis development: can skin care prevent onset?,"Atopic dermatitis (AD), a prevalent Th2-dominant skin disease, involves complex genetic and environmental factors, including mutations in the Filaggrin gene and dysbiosis of skin microbiota characterized by an increased abundance of Staphylococcus aureus. Our recent findings emphasize the pivotal role of the skin barrier's integrity and microbial composition in infantile AD and allergic diseases. Early skin dysbiosis predisposes infants to AD, suggesting targeted skincare practices as a preventive strategy. The effects of skincare interventions, particularly the application of moisturizers with the appropriate molar concentration of ceramides, cholesterol, and fatty acids, play a crucial role in restoring the skin barrier. Notably, our study revealed that appropriate skincare can reduce Streptococcus abundance while supporting Cutibacterium acnes presence, thus directly linking skincare practices to microbial modulation in neonatal skin. Despite the mixed outcomes of previous Randomized Controlled Trials on the efficacy of moisturizers in AD prevention, our research points to the potential of skincare intervention as a primary preventive method against AD by minimizing the impact of genetic and environmental factors. Furthermore, our research supports the notion that early aggressive management of eczema may reduce the incidence of food allergies, highlighting the necessity for multifaceted prevention strategies that address both the skin barrier and immune sensitization. By focusing on repairing the skin barrier and adjusting the skin's microbiome from birth, we propose a novel perspective on preventing infantile AD and allergic diseases, opening new avenues for future studies and practices in allergy prevention."
38886477,Stability evaluation of open-pit mine slope based on Bayesian optimization 1D-CNN.,"As mechanized open-pit coal mining intensifies, assessing and predicting slope stability has become increasingly important. To address the limitations of traditional mechanical calculations, numerical simulations, and physical experiments, this paper identifies the key factors impacting slope stability in open-pit mines and develops a multi-parameter sample data set. The study employs hyperparameters optimized using a Bayesian algorithm, introduces additional convolutional layers, and combines the Adam optimizer with dropout techniques to enhance the feature extraction and performance of one-dimensional convolutional neural networks (1D-CNN). This leads to a Bayesian-optimized one-dimensional convolutional neural network (B-1D MCNN) model for predicting slope stability.The study evaluates the classification performance and accuracy of various models for slope stability, including BP neural networks, genetic algorithm-optimized convolutional neural networks, 1D-CNN, and B-1D MCNN, using accuracy, precision, and F1-score as metrics. The analysis also examines the influence of factor indicators and training set length on the model's output to assess its generalization capabilities.The research findings suggest that: (1) the B-1D MCNN model for evaluating slope stability demonstrates the capability to accurately depict the nonlinear correlation between influencing factors and slope stability. (2) Compared with other models, the B-1D MCNN model has shown enhancements of 10.96% to 27.85%, 10.26% to 28.55%, and 8.98% to 25.05% in terms of Accuracy, F1-Score, and Precision, respectively. (3) As the length of the training dataset increases, the performance of the model improves accordingly. (4) The B-1D MCNN model shows a generalization power of 87.5%."
38887543,STING agonist-conjugated metal-organic framework induces artificial leukocytoid structures and immune hotspots for systemic antitumor responses.,"Radiotherapy is widely used for cancer treatment, but its clinical utility is limited by radioresistance and its inability to target metastases. Nanoscale metal-organic frameworks (MOFs) have shown promise as high-Z nanoradiosensitizers to enhance radiotherapy and induce immunostimulatory regulation of the tumor microenvironment. We hypothesized that MOFs could deliver small-molecule therapeutics to synergize with radiotherapy for enhanced antitumor efficacy. Herein, we develop a robust nanoradiosensitizer, GA-MOF, by conjugating a STING agonist, 2',3'-cyclic guanosine monophosphate-adenosine monophosphate (GA), on MOFs for synergistic radiosensitization and STING activation. GA-MOF demonstrated strong anticancer efficacy by forming immune-cell-rich nodules (artificial leukocytoid structures) and transforming them into immunostimulatory hotspots with radiotherapy. Further combination with an immune checkpoint blockade suppressed distant tumors through systemic immune activation. Our work not only demonstrates the potent radiosensitization of GA-MOF, but also provides detailed mechanisms regarding MOF distribution, immune regulatory pathways and long-term immune effects."
38887628,Dynamics of self-control during choice and post-choice consumption quantity.,"Observed choices between options representing a relative vice and a relative virtue have commonly been used as a measure of eating self-control in the literature. However, even though self-control operations may manifest across the post-choice consumption stage, either similarly or in different ways from the choice stage, most prior research has ignored consumption quantity of the chosen option. While the behavior of choosing a virtue instead of a vice does manifest self-control, we examine how this plays out in post-choice consumption. Specifically, we find that when processing resources are limited, after having chosen a virtue food, unrestrained eaters ironically consumed greater quantities and therefore more calories than restrained eaters (Study 1). This reflects more persistent self-control in the post-choice consumption stage among restrained eaters than unrestrained eaters, and occurs because choosing a virtue lowers accessibility of the self-control goal among unrestrained eaters relative to restrained eaters (Study 2), thereby increasing intake of the virtuous food. In contrast, subsequent to having chosen a vice, unrestrained eaters and restrained eaters did not show any such difference in intake (Study 1) or goal accessibility (Study 2). Together, these results reveal that persistence of self-control in the post-choice consumption stage depends on individuals' dietary restraint and their initial exercise of self-control in the choice decision. The mere act of choosing a virtue satisfies unrestrained eaters' self-control goal and leads to increased food intake, whereas the same act keeps the same goal activated among restrained eaters who reduce intake of the chosen virtue. Put differently, persistent self-control across choice and quantity decisions is observed only when those with a dietary goal show successful self-control enactment in the choice stage. We therefore highlight that the operation of self-control can be dynamic within a consumption episode, and thus, choice and post-choice quantity are both informative of self-control."
38886960,Salsolinol as an RNA m6A methylation inducer mediates dopaminergic neuronal death by regulating YAP1 and autophagy.,"JOURNAL/nrgr/04.03/01300535-202503000-00032/figure1/v/2024-06-17T092413Z/r/image-tiff Salsolinol (1-methyl-6,7-dihydroxy-1,2,3,4-tetrahydroisoquinoline, Sal) is a catechol isoquinoline that causes neurotoxicity and shares structural similarity with 1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine, an environmental toxin that causes Parkinson's disease. However, the mechanism by which Sal mediates dopaminergic neuronal death remains unclear. In this study, we found that Sal significantly enhanced the global level of N6-methyladenosine (m6A) RNA methylation in PC12 cells, mainly by inducing the downregulation of the expression of m6A demethylases fat mass and obesity-associated protein (FTO) and alkB homolog 5 (ALKBH5). RNA sequencing analysis showed that Sal downregulated the Hippo signaling pathway. The m6A reader YTH domain-containing family protein 2 (YTHDF2) promoted the degradation of m6A-containing Yes-associated protein 1 (YAP1) mRNA, which is a downstream key effector in the Hippo signaling pathway. Additionally, downregulation of YAP1 promoted autophagy, indicating that the mutual regulation between YAP1 and autophagy can lead to neurotoxicity. These findings reveal the role of Sal on m6A RNA methylation and suggest that Sal may act as an RNA methylation inducer mediating dopaminergic neuronal death through YAP1 and autophagy. Our results provide greater insights into the neurotoxic effects of catechol isoquinolines compared with other studies and may be a reference for assessing the involvement of RNA methylation in the pathogenesis of Parkinson's disease."
38885894,JAK2/STAT3 pathway inhibition by AG490 ameliorates experimental autoimmune encephalomyelitis via regulation of Th17 cells and autophagy.,"Multiple sclerosis (MS) is an autoimmune inflammatory condition affecting the central nervous system, and experimental autoimmune encephalomyelitis (EAE) animal models have been extensively used to study it. T-helper 17 cells, which produce interleukin-17(IL-17), play crucial roles in MS pathogenesis, and the JAK2/STAT3 pathway has an essential function in their differentiation from naive CD4+ T cells. This study investigated the effects of the JAK2/STAT3 pathway inhibitor AG490 on EAE in vivo and in vitro, as well as the underlying mechanisms. AG490 ameliorated EAE severity and attenuated its typical symptoms by downregulating proteins associated with the JAK2/STAT3 pathway. Furthermore, it decreased T-helper 17 cell differentiation from naive CD4+ T cells by inactivating STAT3. In addition, it conferred protective effects against EAE by restoring autophagy. These findings indicate the potential of AG490 as a candidate anti-MS therapeutic."
38887733,Enhancing closure efficacy in antireflux mucoplasty through endoscopic hand-suturing technique.,Video 1XXX.
38886509,Structural and biophysical insights into targeting of claudin-4 by a synthetic antibody fragment.,"Claudins are a 27-member family of ~25 kDa membrane proteins that integrate into tight junctions to form molecular barriers at the paracellular spaces between endothelial and epithelial cells. As the backbone of tight junction structure and function, claudins are attractive targets for modulating tissue permeability to deliver drugs or treat disease. However, structures of claudins are limited due to their small sizes and physicochemical properties-these traits also make therapy development a challenge. Here we report the development of a synthetic antibody fragment (sFab) that binds human claudin-4 and the determination of a high-resolution structure of it bound to claudin-4/enterotoxin complexes using cryogenic electron microscopy. Structural and biophysical results reveal this sFabs mechanism of select binding to human claudin-4 over other homologous claudins and establish the ability of sFabs to bind hard-to-target claudins to probe tight junction structure and function. The findings provide a framework for tight junction modulation by sFabs for tissue-selective therapies."
38887298,Establishment of a prognostic model for hypoxia-associated genes in OPSCC and revelation of intercellular crosstalk.,"Hypoxia exerts a profound influence on the tumor microenvironment and immune response, shaping treatment outcomes and prognosis. Utilizing consistency clustering, we discerned two hypoxia subtypes in OPSCC bulk sequencing data from GEO. Key modules within OPSCC were identified through weighted gene correlation network analysis (WGCNA). Core modules underwent CIBERSORT immune infiltration analysis and GSEA functional enrichment. Univariate Cox and LASSO analyses were employed to construct prognostic models for seven hypoxia-related genes. Further investigation into clinical characteristics, the immune microenvironment, and TIDE algorithm prediction for immunotherapy response was conducted in high- and low-risk groups. scRNA-seq data were visually represented through TSNE clustering, employing the scissors algorithm to map hypoxia phenotypes. Interactions among cellular subpopulations were explored using the Cellchat package, with additional assessments of metabolic and transcriptional activities. Integration with clinical data unveiled a prevalence of HPV-positive patients in the low hypoxia and low-risk groups. Immunohistochemical validation demonstrated low TDO2 expression in HPV-positive (P16-positive) patients. Our prediction suggested that HPV16 E7 promotes HIF-1α inhibition, leading to reduced glycolytic activity, ultimately contributing to better prognosis and treatment sensitivity. The scissors algorithm effectively segregated epithelial cells and fibroblasts into distinct clusters based on hypoxia characteristics. Cellular communication analysis illuminated significant crosstalk among hypoxia-associated epithelial, fibroblast, and endothelial cells, potentially fostering tumor proliferation and metastasis."
38887410,Using Learning Analytics to Evaluate the Clinical Education Podcast Format.,"Learning analytics has been rigorously applied to various forms of e-learning, but not to the evaluation of clinical education podcasts. We created a podcast series using the Anchor by Spotify platform, uploading an episode every 2 weeks starting on March 30, 2021. We examined analytics data using a censoring date of November 1, 2022. Based on 29,747 total plays, average audience retention declined 10%/minute until an inflection point at 2.5 minutes, followed by a steady decline of 1.8%/minute. With a maximum episode length of 17 minutes, we did not identify a limit on learner attention for short-form podcasts."
38886037,Use of phosphotyrosine-containing peptides to target SH2 domains: Antagonist peptides of the Crk/CrkL-p130Cas axis.,"Protein-protein interactions between SH2 domains and segments of proteins that include a post-translationally phosphorylated tyrosine residue (pY) underpin numerous signal transduction cascades that allow cells to respond to their environment. Dysregulation of the writing, erasing, and reading of these posttranslational modifications is a hallmark of human disease, notably cancer. Elucidating the precise role of the SH2 domain-containing adaptor proteins Crk and CrkL in tumor cell migration and invasion is challenging because there are no specific and potent antagonists available. Crk and CrkL SH2s interact with a region of the docking protein p130Cas containing 15 potential pY-containing tetrapeptide motifs. This chapter summarizes recent efforts toward peptide antagonists for this Crk/CrkL-p130Cas interaction. We describe our protocol for recombinant expression and purification of Crk and CrkL SH2s for functional assays and our procedure to determine the consensus binding motif from the p130Cas sequence. To develop a more potent antagonist, we employ methods often associated with structure-based drug design. Computational docking using Rosetta FlexPepDock, which accounts for peptides having a greater number of conformational degrees of freedom than small organic molecules that typically constitute libraries, provides quantitative docking metrics to prioritize candidate peptides for experimental testing. A battery of biophysical assays, including fluorescence polarization, differential scanning fluorimetry and saturation transfer difference nuclear magnetic resonance spectroscopy, were employed to assess the candidates. In parallel, GST pulldown competition assays characterized protein-protein binding in vitro. Taken together, our methodology yields peptide antagonists of the Crk/CrkL-p130Cas axis that will be used to validate targets, assess druggability, foster in vitro assay development, and potentially serve as lead compounds for therapeutic intervention."
38887775,Mechanisms of microbial resistance against cadmium - a review.,"The escalating cadmium influx from industrial activities and anthropogenic sources has raised serious environmental concerns due to its toxic effects on ecosystems and human health. This review delves into the intricate mechanisms underlying microbial resistance to cadmium, shedding light on the multifaceted interplay between microorganisms and this hazardous heavy metal. Cadmium overexposure elicits severe health repercussions, including renal carcinoma, mucous membrane degradation, bone density loss, and kidney stone formation in humans. Moreover, its deleterious impact extends to animal and plant metabolism. While physico-chemical methods like reverse osmosis and ion exchange are employed to mitigate cadmium contamination, their costliness and incomplete efficacy necessitate alternative strategies. Microbes, particularly bacteria and fungi, exhibit remarkable resilience to elevated cadmium concentrations through intricate resistance mechanisms. This paper elucidates the ingenious strategies employed by these microorganisms to combat cadmium stress, encompassing metal ion sequestration, efflux pumps, and enzymatic detoxification pathways. Bioremediation emerges as a promising avenue for tackling cadmium pollution, leveraging microorganisms' ability to transform toxic cadmium forms into less hazardous derivatives. Unlike conventional methods, bioremediation offers a cost-effective, environmentally benign, and efficient approach. This review amalgamates the current understanding of microbial cadmium resistance mechanisms, highlighting their potential for sustainable remediation strategies. By unraveling the intricate interactions between microorganisms and cadmium, this study contributes to advancing our knowledge of bioremediation approaches, thereby paving the way for safer and more effective cadmium mitigation practices."
38887682,Mortality prevention as the centre of COPD management.,"COPD is a major healthcare problem and cause of mortality worldwide. COPD patients at increased mortality risk are those who are more symptomatic, have lower lung function and lower diffusing capacity of the lung for carbon monoxide, decreased exercise capacity, belong to the emphysematous phenotype and those who have concomitant bronchiectasis. Mortality risk seems to be greater in patients who experience COPD exacerbations and in those who suffer from concomitant cardiovascular and/or metabolic diseases. To predict the risk of death in COPD patients, several composite scores have been created using different parameters. In previous years, large studies (also called mega-trials) have evaluated the efficacy of different therapies on COPD mortality, but until recently only nonpharmaceutical interventions have proven to be effective. However, recent studies on fixed combinations of triple therapy (long-acting β-agonists, long-acting muscarinic antagonists and inhaled corticosteroids) have provided encouraging results, showing for the first time a reduction in mortality compared to dual therapies. The aim of the present review is to summarise available data regarding mortality risk in COPD patients and to describe pharmacological therapies that have shown effectiveness in reducing mortality."
38886776,Biomechanics of circulating cellular and subcellular bioparticles: beyond separation.,"Biomechanical attributes have emerged as novel markers, providing a reliable means to characterize cellular and subcellular fractions. Numerous studies have identified correlations between these factors and patients' medical status. However, the absence of a thorough overview impedes their applicability in contemporary state-of-the-art therapeutic strategies. In this context, we provide a comprehensive analysis of the dimensions, configuration, rigidity, density, and electrical characteristics of normal and abnormal circulating cells. Subsequently, the discussion broadens to encompass subcellular bioparticles, such as extracellular vesicles (EVs) enriched either from blood cells or other tissues. Notably, cell sizes vary significantly, from 2 μm for platelets to 25 μm for circulating tumor cells (CTCs), enabling the development of size-based separation techniques, such as microfiltration, for specific diagnostic and therapeutic applications. Although cellular density is relatively constant among different circulating bioparticles, it allows for reliable density gradient centrifugation to isolate cells without altering their native state. Additionally, variations in EV surface charges (-6.3 to -45 mV) offer opportunities for electrophoretic and electrostatic separation methods. The distinctive mechanical properties of abnormal cells, compared to their normal counterparts, present an exceptional opportunity for diverse medical and biotechnological approaches. This review also aims to provide a holistic view of the current understanding of popular techniques in this domain that transcend conventional boundaries, focusing on early harvesting of malignant cells from body fluids, designing effective therapeutic options, cell targeting, and resonating with tissue and genetic engineering principles."
38886545,RUNX1 regulates MCM2/CDC20 to promote COAD progression modified by deubiquitination of USP31.,"Colon adenocarcinoma (COAD) is the second leading cause of cancer death, and there is still a lack of diagnostic biomarkers and therapeutic targets. In this study, bioinformatics analysis of the TCGA database was used to obtain RUNX1, a gene with prognostic value in COAD. RUNX1 plays an important role in many malignancies, and its molecular regulatory mechanisms in COAD remain to be fully understood. To explore the physiological role of RUNX1, we performed functional analyses, such as CCK-8, colony formation and migration assays. In addition, we investigated the underlying mechanisms using transcriptome sequencing and chromatin immunoprecipitation assays. RUNX1 is highly expressed in COAD patients and significantly correlates with survival. Silencing of RUNX1 significantly slowed down the proliferation and migratory capacity of COAD cells. Furthermore, we demonstrate that CDC20 and MCM2 may be target genes of RUNX1, and that RUNX1 may be physically linked to the deubiquitinating enzyme USP31, which mediates the upregulation of RUNX1 protein to promote transcriptional function. Our results may provide new insights into the mechanism of action of RUNX1 in COAD and reveal potential therapeutic targets for this disease."
38887552,Analysis and discussion on the pharmaceutical centralized procurement implementation - a case study of a large provincial hospital in China.,"Unaffordable medical treatment and inflated drug prices have become a challenging issue for lawmakers worldwide. To reduce the financial burden and standardize the pharmaceutical market, the Chinese government has issued several detailed regulations, including the measures of drug recruitment and procurement in one and volume purchasing to not only ensure the high quality of approved drugs but also lower the cost of the production and sell procedure. In this work, to have a thorough overview of the enforcement of these regulations, we attempted to critically analyze the data of our hospital's centralized procurement of drugs from 2019 to 2022. We identified some concerns, such as the difficulty in determining the ""quantity"" of drug procurement, out-of-stock of collectively procured drugs, difficulty in managing the preallocation of associated funds, incomplete centralized procurement systems, etc. Therefore, it is essential to promote a multidimensional strategy, including the combination of the medical insurance reform and drug centralized procurement policies, strict controlling of the forecast quantity of drugs to ensure stable drug supply, improvement of the relevant policies for retaining the surplus of centralized procurement drug medical insurance funds, secureness of the drug procurement system platform, and available reference and guidance for subsequent centralized quantity procurement of drugs."
38886353,Accelerometer-derived physical activity and mortality in individuals with type 2 diabetes.,"Physical activity (PA) has been shown to reduce diabetes mortality, but largely based on imprecise self-reported data, which may hinder the development of related recommendations. Here, we perform a prospective cohort study of 19,624 individuals with type 2 diabetes (T2D) from the UK Biobank with a median follow-up of 6.9 years. Duration and intensity of PA are measured by wrist-worn accelerometers over a 7-day period. We observe L-shaped associations of longer duration of PA, regardless of PA intensity, with risks of all-cause and cancer mortality, as well as a negatively linear association with cardiovascular disease mortality. 12.7%, 15.8%, and 22.3% of deaths are attributable to the lowest level of light-intensity, moderate-intensity PA, and vigorous-intensity PA, respectively. Collectively, our findings provide insights for clinical guidelines that should highlight the potential value of adherence to greater intensity and duration of PA for patients with T2D."
38888009,Characterisation of magnetic atomic and molecular beamlines for the extraction of empirical scattering-matrices.,"A recently developed magnetic molecular interferometry technique allows the experimental determination of how the amplitudes and phases of the molecular wave-function change during the collision of a gas phase molecule with a surface. This information, quantified by a scattering-matrix, provides a very stringent benchmark for developing accurate theoretical models as they can also be determined from scattering calculations and are particularly sensitive to the underlying interaction potential. However, the value of this comparison is necessarily limited by the accuracy with which an empirical scattering-matrix can be extracted from the experimental data. This paper presents the methods used to analyse the measurements and uses simulations to determine how various uncertainties in modelling the different magnetic elements which make up the beamline of the apparatus affect the accuracy with which the scattering-matrix can be extracted. It is shown that when signals have a noise level which corresponds to on the order of 1% of the oscillation amplitude, the uncertainties in the modelling do not significantly affect the ability to extract the scattering-matrix elements, with the error in the extracted values increasing to a few percent as the noise in the signals is increased to 10% of the oscillation amplitude. This therefore gives an estimate of the accuracy of the parameters that can be obtained from future measurements."
38887887,Carbon Nanotube Loading Strategies for Peptide Drugs: Insights from Molecular Dynamics Simulations.,"Carbon nanotubes (CNTs) can be regarded as a potential platform for transmembrane drug delivery as many experimental works have demonstrated their capability to effectively transport bioactive molecules into living cells. Within this framework, the loading of a peptide drug onto either the interior or exterior of CNTs has gained considerable interest. This study aims to conduct a comprehensive comparison of these two loading methods. To this end, we performed molecular dynamics simulations and the umbrella sampling technique to investigate the interaction energy, conformational changes, and free energy changes of a model peptide drug containing α-helical structure interacting with the inner or outer walls of a 14.7-nm-long (20,20) CNT. Our finding reveals that, for a tube of such dimensions, it is thermodynamically more favorable for the peptide to be loaded onto the inner tube wall than the outer tube wall, primarily due to a larger free energy change for the former strategy. Conversely, unloading the drug from the tube interior poses greater challenges. Moreover, the tube's curvature plays an essential role in influencing the conformation of the adsorbed peptide. Despite the relatively weaker van der Waals interaction between the CNT exterior and the peptide, loading the peptide onto the exterior may induce significant conformational changes, particularly affecting the peptide's α-helix structure. In contrast, loading of the peptide on the CNT interior could maintain most of the α-helical content. CNTs do not typically attract specific peptide residues, with adsorbed groups primarily determined by the peptide's configurations and orientations. Finally, we offer a guideline for selecting an optimal loading strategy for CNT-based drug delivery."
38887191,Effect of rare earth ion substitution on phase decomposition of apatite structure.,"The paper describes an investigation of phase decomposition of apatite lattice doped with rare earth ions (cerium, samarium, and holmium) at temperatures ranging from 25 to 1200 ºC. The rare-earth ion-doped apatite minerals were synthesized using sol-gel method. In situ high-temperature powder X-ray diffraction (XRD) was used to observe phase changes and the lattice parameters were analyzed to ascertain the crystallographic transformations. The expansion coefficient of the compounds was determined, and it was found that the c-axis was the most expandable due to relatively weak chemical bonds along the c-crystallographic axis. Differential scanning calorimetry (DSC) and thermogravimetric analysis (TGA) were used to examine the decomposition properties of the materials. Due to rare earth ion doping, the produced materials had slightly variable decomposition behaviour. The cerium and samarium ions were present in multiple oxidation states (Ce3+, Ce4+, Sm3+, Sm2+), whereas only Ho3+ ions were observed. Rare earth ion substitution affects tri-calcium phosphate proportion during decomposition by regulating concentrations of vacancies. X-ray photoelectron spectroscopy (XPS) analysis indicated that cerium and samarium ion-doped apatite yielded only 25% tricalcium phosphate during decomposition. This finding advances our understanding of apatite structures, with implications for various high-temperature processes like calcination, sintering, hydrothermal processing, and plasma spraying."
